Number,Wins,Losses,Draws,Simulations,White Nodes,Black Nodes,Moves From End,Fen
37,306,197,9497,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
38,340,209,9451,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
39,323,219,9458,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
40,310,203,9487,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
41,304,213,9483,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
42,305,180,9515,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
43,348,226,9426,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
44,323,204,9473,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
45,305,186,9509,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
46,350,181,9469,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
47,321,208,9471,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
48,315,221,9464,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
49,324,196,9480,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
50,328,203,9469,10000,15000,10000,20,8/6k1/8/p1p2p2/P3pP1P/1P4PK/4B3/8 w - - 5 118
""
1,287,300,9413,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
2,253,305,9442,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
3,268,302,9430,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
4,274,306,9420,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
5,276,310,9414,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
6,256,299,9445,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
7,274,300,9426,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
8,259,304,9437,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
9,278,316,9406,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
10,306,299,9395,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
11,251,314,9435,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
12,253,328,9419,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
13,258,277,9465,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
14,281,294,9425,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
15,271,273,9456,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
16,251,314,9435,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
17,263,273,9464,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
18,262,298,9440,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
19,253,277,9470,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
20,251,305,9444,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
21,272,282,9446,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
22,264,307,9429,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
23,280,322,9398,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
24,260,308,9432,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
25,243,305,9452,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
26,278,310,9412,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
27,260,286,9454,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
28,287,337,9376,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
29,290,314,9396,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
30,275,315,9410,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
31,274,308,9418,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
32,278,299,9423,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
33,251,316,9433,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
34,269,304,9427,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
35,273,310,9417,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
36,265,323,9412,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
37,276,325,9399,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
38,289,306,9405,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
39,238,309,9453,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
40,244,314,9442,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
41,249,316,9435,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
42,261,329,9410,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
43,272,309,9419,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
44,287,309,9404,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
45,280,286,9434,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
46,264,316,9420,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
47,275,303,9422,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
48,244,324,9432,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
49,257,324,9419,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
50,264,277,9459,10000,10000,15000,20,7R/1p5p/p1b1k1p1/2p5/7P/1PB2P2/P5P1/3r2K1 w - - 1 35
""
